text,category
 NO DRAFT BEER ALL BOTTLE BEER AND FAR TO DEAR,Negative
 the room was very small and the swimming pool seemed to have swimming lessons on for children CONSTANTLY,Negative
 Room too small and quite nosy,Negative
 The room was just a bit cold ,Negative
 Room to small,Negative
No Negative,Negative
 Size of bedroom and uncomfortable bed,Negative
 had to on a number of timesfind and ask waiter for tea or coffee,Negative
No Negative,Negative
 Very slow to check in Woken up at 4am by people playing music in an ajoining room complained to front desk but the noise continued ,Negative
 Rooms very small and internet even though It cost me 9 for less than 24 hrs was awful ,Negative
 Bed was very very uncomfortable,Negative
 Small room small bathroom tv system failed repeatedly,Negative
 Wifi,Negative
 Would have been nice if there was a fridge,Negative
 lumpy bed,Negative
 Breakfast hot first morning cold second morning and waited ages for coffee but ended up leaving without ,Negative
 The rooms 1st shown were far too small it was like single been shown as adouble,Negative
No Negative,Negative
 Condescending staff Having to ask for TV controller twice Having to pay extra for spa when booked superior room Grubby bath room,Negative
 Price too high for the breakfast of a kid of 7 years old,Negative
 Would have liked to have had more sheets on the bed no fitted sheet or mattress pad as a barrier,Negative
 Room size,Negative
 There could ve been soap shampoo and conditioner in the bathroom ,Negative
 Room was very small ,Negative
 Smell of cigarette in hallway A,Negative
No Negative,Negative
 Having to pay extra for Spa and Wifi Staff very average ,Negative
 Our room was a bit small and the bathroom a bit of a squeeze also The beds were comfortable ,Negative
 food from kitchen very slow in bar area when only a couple of people there,Negative
 Cost of a standard breakfast The charge to use the gym and pool facilities Service Charges on drinks that were already very very expensive ,Negative
 No internet in my room complained 6 times and gave up after that terrible customer service ,Negative
 rooms are small,Negative
 Mattress springs a bit warn out ,Negative
 N a,Negative
 Pillows not very comfy but great hotel in general,Negative
 No room between bed and sliding bathroom door which was a problem for someone with a sore knee ,Negative
 You still have to purchase Wifi Device,Negative
 Bed was to small for our liking Where the toilet was positioned was very narrow ,Negative
 Bed could have been more comfortable but realise this is very individual,Negative
 Our room was tiny the bed was tiny and the woodwork into the bathroom was all scratched,Negative
 Very poky room,Negative
No Negative,Negative
 Rooms tiny need decorating the extra charge for leisure facilities is pretty poor ,Negative
 Please leave More milk in rooms no point in leaving only 4 milks when you have coffees and teas,Negative
 Room was a bit on the small side but adequate ,Negative
 ROOM COULD HAVE BEEN BIGGER,Negative
 Swimming pool changing room was very cold Which was very poor concider in it s winter time ,Negative
 Size of the room we had upgraded and it was smaller than a premier inn room which are a lot cheaper,Negative
 First floor bedroom over reception area Noise from cases being dragged on floor underneath late into the night ,Negative
 Water Shower pressure was quite weak took ages to fill the bath,Negative
No Negative,Negative
 I am disabled and toilet access in our room wasn t wide enough had to go down to the public one bathroom was very small ,Negative
No Negative,Negative
 You could do with another toaster at breakfasts I was waiting a while to use it,Negative
No Negative,Negative
No Negative,Negative
 the mini fridge could have been placed in the wardbrode,Negative
 Did not like the 2 beds put together in room 8007,Negative
 Nothing,Negative
 They put two single beds together,Negative
 We were upgraded to a superior suite but was disappointed to see that they had no bath ,Negative
 The room,Negative
No Negative,Negative
 Rooms a bit old bathroom small ,Negative
 It s better if the gym is free for the guest,Negative
No Negative,Negative
 All good ,Negative
 Not a four star hotel rooms small wifi dreadful ,Negative
 The room was very small ,Negative
No Negative,Negative
No Negative,Negative
 Expensive to eat and drink also too many extras ie having to pay extra for Internet breakfast spa,Negative
 Room are not like the pictures shown on the Internet Rooms small very basic ,Negative
 Needed 2 bars of soap ,Negative
 The room we stayed in was very dated ,Negative
 Shower pressure pretty low on 4th floor and it took ages first thing Sunday morning to get the water to the required temperature ,Negative
 Could have had free wifi and free access to the pool etc for guests,Negative
 Extremely small bathroom WiFi not included ,Negative
 Was given a disabled toilet room which unfortunately meant the shower head was too low to shower comfortably,Negative
 Breakfast Options Could have been cheaper,Negative
 Charge for wifi and use of pool ,Negative
 breakfast expensive,Negative
 Rooms were tiny and unhelpful staff,Negative
 Room offered with Bath and Shower but only shower provided ,Negative
 Room was rather small and decor could have been improved The bathroom was new but the room itself seemed tired ,Negative
 Small rooms for that price,Negative
No Negative,Negative
 The fact you have to pay for gym and wifi,Negative
 Extra charges for wifi pool use and gym use Rooms were tiny and way overpriced Would not stay again ,Negative
 Pool and Wifi were not included in the rate ,Negative
No Negative,Negative
 Rooms need update,Negative
No Negative,Negative
 the only thing we found fault with was the room we were very disappointed with it,Negative
 all of the staff and hotel are stupid we never ever go to this hotel staff dont know what is smiles means ,Negative
 Ventilation in bathroom poor and had to ask for more toilet roll which was taken back again the next day ,Negative
 room was a bit small for the price paid,Negative
 Rooms a bit small,Negative
 Worst internet ever,Negative
 The rooms were incredibly small ,Negative
 Not much space in the room,Negative
 Room very small,Negative
 No free WiFi ,Negative
 Rooms small but not a problem for us,Negative
 CANT THINK OF ANYTHING ,Negative
No Negative,Negative
 the lack of single malt whiskies which were on the menu but not available Tired decor in room ,Negative
No Negative,Negative
 Double room is fairly small ,Negative
 TINY ROOMS Some staff had trouble understanding me due to their poor English,Negative
 some food available at the bar after 22 00,Negative
 they took money after my check out saying i was smoking and i don t smoke haven t smoked,Negative
 Very small bedroom,Negative
 Room very hot air con kept going off house keeper said it had happened before ,Negative
 Room was a bit small bed was pushed up against the windows that was very draughty so room was cold,Negative
 I paid extra for an executive room and it was no better than a standard room,Negative
 The breakfast was average and warm not hot The heating for the bedroom was not at all efficient ,Negative
 The tv not many Channels and it s hard to work,Negative
 Limited choice in restaurant,Negative
 Small tiny shoe box rooms,Negative
 gym and swimming pool with extra charges,Negative
 gym and swiming pool with extra charges,Negative
No Negative,Negative
 N A,Negative
No Negative,Negative
 Size of bath room Wash basin had crack in it ,Negative
 Small room,Negative
 Room way too small,Negative
No Negative,Negative
 Double rooms too small,Negative
 Rooms are too small,Negative
 Restroom too small I mean very very small ,Negative
 The room is a bit small,Negative
No Negative,Negative
 Small room,Negative
 Paid 135 per night for a room worth 45 max I have stayed in nicer premier inns Ripped carpet and a matress the same thickness of a cracker ,Negative
No Negative,Negative
 Noise from cleaning staff in morning,Negative
 Very small,Negative
 Rooms very dark and outdated ,Negative
 room stank of smoking,Negative
 room is a little bit small no free wifi ,Negative
 Disappointed as a guest you have to pay to use the swimming pool and jacuzzi which was out of order ,Negative
 the size of room too small breakfast not very good not enough tv channels none for kids,Negative
 Paying for gym Paying for wifi,Negative
 Dining room didn t open til half past 5 when table required for 5 pm,Negative
 It wasnt what I didnt like but the bedrooms are a bit small,Negative
 Very small rooms,Negative
 No face tissue No free wifi,Negative
No Negative,Negative
 Towels need to be more clean ,Negative
No Negative,Negative
 Nothing,Negative
No Negative,Negative
No Negative,Negative
 Nothing it was very nice,Negative
 Felt very ripped off having to pay extra for the pool,Negative
No Negative,Negative
 Room was a bit small for a twin ,Negative
 Food was sent back 3 times and was still cold so went hungry Chamber maid let herself into room at 8 30 am the morning of check out,Negative
 Having to pay for wifi gym spa and the room being so small for the money,Negative
No Negative,Negative
 Small rooms Great for one person in a room Fine for two if you are out all the time and don t bring back any shopping bags ,Negative
No Negative,Negative
 For the cost of the room you would expect parking to be included,Negative
 One niggle one room wasn t ready at 2pm,Negative
No Negative,Negative
 Expensive wifi ,Negative
No Negative,Negative
 the room was hardly big enough for two,Negative
 Bit noisy on our corridor Room a bit on the small side,Negative
 Room very small Bath didn t drain Street outside very noisy in night making it difficult to sleep Breakfast very expensive ,Negative
 Staff are slow and reception always takes too long to check in Room was not ready at 8pm in the evening having said I would arrive around 3pm ,Negative
 Our standard double room was rather small,Negative
No Negative,Negative
No Negative,Negative
 The only thing stopping me rating the hotel a 10 is that there was no free wifi,Negative
No Negative,Negative
No Negative,Negative
 The premises look like those of an hotel of East Germany in the 60s Rooms have a minimum of comfort,Negative
No Negative,Negative
 The rooms were slightly small but were decorated to a high standard ,Negative
 The lifts only work now and again,Negative
 Only one lift my room was the far end of the coridor,Negative
 Appallingly small rooms Unable to store simple things like suits and shirts and hang my coat up ,Negative
No Negative,Negative
No Negative,Negative
 Room was really small,Negative
 Small room,Negative
 The breakfast was very disappointing as the hot food was not hot,Negative
 Lifts were temperamental and the bedroom and bathroom were tiny not good value,Negative
 Breakfast was cold and room was very small compared to our last stay with a poor view,Negative
 room a little small,Negative
 The room was very small ,Negative
 Receptionist,Negative
 Extractor fan in bathroom Stayed on too long after turned off,Negative
 Rude staff priced at bar and restaurant Having to pay for spa,Negative
 Rooms were kinda shabby,Negative
 Staff too attentive spa area very noisy with children,Negative
 No breakfast or wifi,Negative
No Negative,Negative
No Negative,Negative
 nothing,Negative
 Was given wrong key to a room people were already in,Negative
 Room was very small ,Negative
 only 1 lift working ,Negative
 Small rooms for the price ,Negative
 Hotel food could be better ,Negative
 compact room no wifi,Negative
 Small room ,Negative
No Negative,Negative
 Rude staff 2 different prices for breakfast Very small room rooms can t see tv from bed Dirty smelly towels ,Negative
No Negative,Negative
No Negative,Negative
 Very expensive bar room very tired,Negative
 the trays for the cakes bread etc was empty but it was busy,Negative
 N a,Negative
 Cold bedroom bathroom,Negative
 very small room and bathroom very small bed and uncomfortable Asked if we could be moved but alternative room very small also,Negative
No Negative,Negative
 Having the cleaner knocking on the door at 8am asking what time we were leaving check out was noon ,Negative
 The staff at reception were new and this meant that check in took a lot longer than usual Also the staff in the bar were rude to my family ,Negative
 Nothing to dislike ,Negative
 None,Negative
 Bedrooms very small indeed Book service meal was below par ,Negative
No Negative,Negative
 Very small room,Negative
 No mini fridge in room,Negative
 Lifts inadequate number and speed charging for Wi Fi no fridge in room limited luggage space in room,Negative
 Our room was very small even though it was an Executive Double ,Negative
 ROOM VERY SMALL,Negative
 WiFi was expensive and room was very basic,Negative
No Negative,Negative
 Poll Gym 7 wiFI all chargeable as extras ,Negative
 Bad and cleaning,Negative
 Room a little dated,Negative
No Negative,Negative
 Only o ne upright chair in the superior twin,Negative
 All toilet are very small and not praticle ,Negative
 No free wifi not even in the lobby or communal areas 10 per device for 24h ,Negative
 Room size is small although room had all facilities,Negative
 Executive bedroom very tight to move around in ,Negative
 room was small but hey i guess thats london,Negative
No Negative,Negative
 Staff were very rude Not informed about hotel parking charges ,Negative
 Bedrooms were tiny,Negative
 Everything else ,Negative
 I am expecting a slightly larger room,Negative
No Negative,Negative
 Room was next to the buildings air conditioning unit which was going 24 7,Negative
 The price of drinks ,Negative
 prize service,Negative
 Double was 2 singles put together not ideal,Negative
No Negative,Negative
 The WIFi was eksspensive,Negative
 The bathroom was really narrow and cramped and the shower pressure was to low ,Negative
 The archaic practice of charging for Wi Fi,Negative
 Fish was not offered on the buffet breakfast Room small tight squeeze to get around the bed ,Negative
No Negative,Negative
 Wifi and facilities gym etc were extra ,Negative
 Cost of very slow internet,Negative
 no wifi very very small rooms and bathrooms spa is chargeable,Negative
 Small rooms very basic expensive poor value for your money but central location,Negative
 Bathroom a bit small,Negative
 exorbitant cost of drinks 18 50 for 2 single gins and 1 tonic water which was already open ,Negative
 Rugby World Cup tariff impact,Negative
 The size of the rooms and bathroom Having to pay for wifi and the use of the pool Waiting time for the lifts,Negative
 not the most comfortable bed and room a bit small,Negative
 Room a little on the small side but as only staying one night not a problem,Negative
 some of the breakfast was not as hot as it could have been but ok overall ,Negative
 Reception front desk not completely knowledgeable and one of them was unfriendly ,Negative
 Rooms ,Negative
No Negative,Negative
 Rooms a bit small and dated In room facilities were OK though ,Negative
 The poor lighting in the bedroom not even a light as you entered the room by the long mirror ,Negative
 Rooms was tiny but it s what you d expect in central London,Negative
 some Internet connectivity issues,Negative
 Gym extra Breakfast extra Wifi extra,Negative
 Hotel reception tried to charge me twice for my stay the fans on the roof for the aircon kept me up all night ,Negative
 Overly expensive for what it was the hotel overall was fine but the room rather poor especially for the price,Negative
 Extra pay for wifi,Negative
 I am not very satisfied to find a little insect on my bath towel ,Negative
 Wireless kept dropping out,Negative
 Walls were very thin you could hear everything right outside the room,Negative
 No free access to gym,Negative
No Negative,Negative
 Very tired rooms Very small rooms Very small lifts and not many of them ,Negative
 I didn t like the layout of the room,Negative
 Having to pay for wifi and pay to use spa facilities Never at a hotel have I ever had to do this ,Negative
 bed uncomfortable not real double 2 pushed together unnattractive bathroom small no bathrobes,Negative
 Our first room was very small and although we had booked a double it did not feel like a double it took us two attempts to change it,Negative
 The low standard and comfort of the room does not correspond to the price ,Negative
 price is high compared to conditions,Negative
 Having to pay extra for wi fi feels very 1999 ,Negative
 Only one lift working,Negative
 The pillows were hard and spoiled what would have been an excellent experience,Negative
No Negative,Negative
 Only one lift working for three days Not good enough ,Negative
No Negative,Negative
 Bedroom no bigger than a cupboard,Negative
No Negative,Negative
 Bar staff was rude food was poor,Negative
No Negative,Negative
No Negative,Negative
 rooms and hallways need a serious face lift,Negative
 Nothing it was perfect,Negative
 No bad experience,Negative
No Negative,Negative
 The rooms are very small and glass panel at bath tub useless No free wifi not even in hotel lobby for guests ,Negative
 wifi was not good especially at night,Negative
 Room was ok but didn t seem the same standard as the rest of the hotel ,Negative
 Executive Room very tiny and well below expectations,Negative
 Rooms are small,Negative
 Tired room Minuscule bathroom Terrible value for money,Negative
 Nothing,Negative
 No laundry on sunday,Negative
 average hotel,Negative
 Had to pay for every extra including wifi,Negative
 ,Negative
 Single bed which wasn t that comfortable but everything else was ok ,Negative
No Negative,Negative
 wifi needed to pay extra limited coupon per usage wifi reception at room not good ,Negative
No Negative,Negative
 Bedrooms far too small Beds not that comfy ,Negative
 Didn t like being charged for the use of the gym ,Negative
 We were put in a single room with two twin beds no room to move ,Negative
No Negative,Negative
 Rooms small and in need of redecoration,Negative
 The price Expensive Staff poor understanding of English ,Negative
No Negative,Negative
 Some receptionists looked quite miserable Not what you want to see as a first impression ,Negative
 Nothing to comment ,Negative
 Very small room Surprised that guests had to pay for leisure facilities each time ,Negative
 Queue to check in One staff member a little down putting in manner ,Negative
 Having to pay for wifi,Negative
 The size of the room 7011 Could not even open our suitcases ,Negative
 Very small bedroom ,Negative
 Single bed wasn t at all comfortable next to window made it cold Lack of enough towels Having to pay for to swim etc Price of drinks ,Negative
No Negative,Negative
 N A,Negative
No Negative,Negative
 Having to pay to use the gym and pool,Negative
 Everything else,Negative
No Negative,Negative
 Service charge being imposed even when sat at the bar ,Negative
No Negative,Negative
 none,Negative
 The room was tiny even after being upgraded,Negative
No Negative,Negative
No Negative,Negative
 The staff are rude and you have to pay to use the pool We waited 1 hour 20 minutes for 10 drinks ,Negative
 Booked a club executive room very disappointed very small Hotel is aimed at tour market and is not what I would consider 4 star,Negative
 Had to pay to swim,Negative
 Incredibly small room Spa and wifi come at additional cost Noisy in the morning ,Negative
 One of the lifts was broken so had to wait ages as we were on the 8th floor,Negative
 Paid Wi Fi,Negative
 No free wifi,Negative
 Room seemed small considering it was advertised as a deluxe suite,Negative
No Negative,Negative
 small room No frills,Negative
 The cost of wifi just a joke when you also experience performance issues 9 95 for 24 hours Horrible,Negative
 Room didn t look like the pictures on booking com Much smaller and more basic looking,Negative
 Poor wifi,Negative
 8 00 cost for the use of the Gym,Negative
 Room was very small,Negative
 This hotel wanted to charge for wi fi They also wanted to charge me for use of the swimming pool,Negative
 Extremly small bathroom Room not very spacious ,Negative
 10 for wifi Even premier inn it s free ,Negative
No Negative,Negative
 Breakfast satisfactory but boring,Negative
 Internet should never ever be payable in a hotel ,Negative
 Rooms a little small but adequate,Negative
 The room wasn t what was described on website Tried to upgrade didn t mind paying But nothing available which I doubt ,Negative
 Bed room service was very late,Negative
No Negative,Negative
 Initial receptionist very functional told us off for looking near her computer Hotel undergoing renovation no prior knowledge of this other than told entrance moved had to walk through redecorating area to access room no fitness available on site ,Negative
 That the reciption is very small and connected to bar which made us confuse when we reached and we did not know where to check in Other than that everything was perfect best of luck ,Negative
 I expected To have a kettle and coffee tea in the room as we normally always have in the rooms The second bed was not comfortable too low postured ,Negative
 The hallway was shocking Construction everywhere Two elevators took us to a second building which was connected with the hotel The hallway in this part was old and did not match the style of the entrance at all The room was old scratches everywhere The Airconditioning was old and very loud but not working properly Unfortunately their was no button to witch it of because the regulation was broken ,Negative
 We had booked two different rooms and specified few weeks in advance that we wanted the rooms next to each other but still got rooms far from each other No shampoo or other stuff in the bathrooms Old and almost molding hotel rooms Nowhere to sit apart from your bed when you have visitors Poor AC stank very badly and was almost broken ,Negative
 Bad chose vor value money Around ight clubs low rates Too far to center by walk Lasy staff on reseption Poor furniture My rate of this place is 3 ,Negative
 we arrived late at night and needed some food the area where the hotel was situated wasn t the nicest we ate at a nearby shopping centre which wasn t very nice I am glad I was with my husband as well as my mother in law as the area and the locals made me feel intimidated ,Negative
 Unfortunately there was big building works going on in the hotel and started early in morning with what sounded like pneumatic dills and hammers bit picky but there wasn t much shelf space in bathroom to put cosmetic items The garden view as described was a courtyard that had a glass roof of the shopping centre in the centre with a small width between the roof and hotel walls ,Negative
 The hotel is undergoing refurbishment of the restaurant and arrangements were made to have breakfast in a nearby restaurant on our first morning The refurbished restaurant was declared ready for the next day this wasn t quite right because the lighting was not yes finished which made the place very dark and gloomy the very opposite condition for a bright start to a new day I understand perfectly that refurbishment is necessary and needs to be done with as little disruption to occupancy levels but due consideration must be given to the inconvenience to guests a mere apology is mean Good customer relations are paramount and a convincing gesture of regret is always better supporte with a discount of sorts When will hotels ever learn that repeat business is the key ,Negative
 It does not really get to 4 star marking if you have heavy bags there is a problem getting down the stairs to the reception The charge of 14 euros per breakfast is really too much for the offered variety ,Negative
 Nothing at all ,Negative
 Breakfast is 14 per person and is not particularly good Air conditioning was broken for the full duration of our stay 4 nights and the only blankets available were heavy We asked for lighter sheets but never got them,Negative
 It is not as central as it sounded and the hotel itself is very oddly structured so you can be quite a distance away from the elevators or the desk for assistance My hope was that would make it more quiet but really the noise just echoes through the long hallways The bed was two twin beds pushed together which separated a couple of times during the night so my husband just about fell through I just checked my card and there has been an additional charge that I didn t sign for nor was there anything used at the hotel or in the room ,Negative
 It s not really the comfort of a 4 star hotel I booked here because it had a discount 59 per night otherwise the price was 150 per night The hotel is not worth 150 night ,Negative
 No tea or coffee making facilities but as there was no kettle as stated it didn t really matter nor were there any slippers as stated TV did not work on whole floor for 2 days phone did not work at all which we reported Poor selection mini bar and expensive Bathroom only included fixed squeezy soap containers for shower and basin and no flannel no hair shampoo No English breakfast tea in restaurant only herbal or Earl Grey so had to have coffee Location for us a bit to far from City centre although underground across the road cheap ticket and 1 change gets you there in 10 12 mins Noisy air conditioning had to turn off at night For these reasons would not class it 4 star ,Negative
 Perhaps the location was a little far out of the city but the underground was nearby and easy to use The bus was also a very short distance from the hotel We don t mind walking so it didn t present a problem for us 20 30 minutes walk into the heart of Vienna depending on personal walking speed ,Negative
 The overall room amenities were more for a 3 star hotel room at top floor was very small furniture was old very little space for clothes painting on the walls was dirty in some places probably form other tourists trying to accommodate the luggage in such a small room No kettle coffee or tea facilities like in other 4 star hotels we ve been Although the cleaning lady visited our room every day to change the towels the wooden floor was always dirty full of dust ,Negative
 The reception staff were efficient but not very friendly unlike the cleaning lady on our floor I was concerned about security as the reception was down steps from entrance and staff did not always sit at desk The door and access to all floors was easily accessible from the road this is presumably why a voucher system operated for breakfast We had no problems though The cable tv only worked on two days ,Negative
 The location for breakfast was a bit inconvenient a walk through the side door into the shopping centre where an outside firm provided breakfasts to guests and the general public The breakfast wasn t great particularly the look of the fried eggs the word cremated springs to mind This may be a temporary measure while the hotel is getting its own breakfast room refurbished because we spotted a room with a Breakfast sign on it that was closed up ,Negative
 It s more 3 star city hotel breakfast was terrible you should go outside the hotel for breakfast very noisy outside not worth of that money ,Negative
 Room temperature was very very high without any possibility to adjust it ,Negative
 We were in an annexe of the main hotel and had to walk out into the main road and back into the reception area The receptionists description of how to use the public underground car park was misleading and caused an hour of frustration The lift was swipe access from the road but inside the public car park anyone could travel to our floor The road outside was a bit shady after dark ,Negative
 the parking is easy and safe but rather expensive ,Negative
 a second chair in the room there was plenty of room would have been nice,Negative
 The bathroom is a little bit small Noise from restaurant reconstruction,Negative
 Hotel was a bit noisy Rate changed to more expensive when I extended the stay by one night ,Negative
 Our original room which was booked as a superior room with garden view was small we struggled to see any garden We asked for a larger room paid extra for this Hotel corridors were lengthy narrow not a 4 star impression ,Negative
No Negative,Negative
 Just the substitute breakfast arrangement but it was not a big deal Plenty of neighborhood alternatives ,Negative
 Parking is possible at the underground parking of the shopping center and is 15 euro day a little bit expensive ,Negative
 Very rude gentlemen at reception was just aiming to kick out people Hotel is close to a mall at nights things turn shady around the mall Bunch of youngsters create trouble ,Negative
 Very very unhappy experience The location is bad because it is a little far from center and the block gave us a uncomfortable feeling And the staff told us the air conditioner can not be used at the second night but we can use it the first day The breakfast is 16 euro one person but it is unworthy and the bed sheet is dirty and makes us feel very itching So we feel really angry ,Negative
No Negative,Negative
 We recently stayed at this property Eventhough it was March it was very hot in the room and the air conditioning was not working when enquired with the reception reply was to keep the windows open and sleep and the AC cannot be switched on for some reason Could not sleep the whole night due to sound from outside with the windows open some nearby construction happening at night When checked next day morning with the Manager available at the reception he gave some unacceptable excuses like this is a city hotel and not a one in the woods which basically meant that we have to suffer some noise levels and started arguing that there was no noise at night etc Finally provided a Fan for the next night Thank God we stayed only for 2 nights ,Negative
 The room we got and the room that was pictured on the website was NOT the same We just had a basic room with a futon set up like a bed for the kids There was no water boiler in the room for the advertised free coffee tea and hot chocolate I went to the front desk and was given a boiler with team only Of the staff I interacted with most were friendly ,Negative
 room was little bit dark no ceiling light and overlooked by a restaurant bar so we preferred not ot open the shuttles of the windows However it was absolutely OK for the purpose of our stay and even it feels cosy so no problems generally ,Negative
 The room was a bit more stark than I had anticipated We were given a room in the newer part of the hotel which was separate from the main entrance would have been more of an issue if we were staying there for breakfast ,Negative
 Internet was not always working queen sized bed is in reality two one person beds put together very warm in the room clima device was set on warm air ,Negative
 We had a standard room the covering of the floor and walls looks slightly outdated but clean Perhaps the rooms of a higher category have a more modern finishing In general we really enjoyed staying at the hotel ,Negative
No Negative,Negative
 cigarette smocking although it was not done inside the hotel somehow my room gets a lot of smoke from outside every time i opened my window ,Negative
 Woken every morning early by the cleaners talking to each other down the corridors very loudly no consideration for the hotel guests slamming doors etc Very warm in hotel all the time hard to sleep even with the heating off ,Negative
 The carpets in the rooms they should exchange it with better quality or remove them they cause a lot of dust alergie,Negative
 we were a couple and had requested a double bed however the hotel only had two separate beds,Negative
 Everything was fine ,Negative
 Getting there on car is not convenient as they do not have parking of their own I had to park the car at one of ride Park station and get train back to hotel which takes around 15 mins But you can park in Lunger City parking beneath hotel for 2 hours for free ,Negative
 No shower curtain in bath Also no tea or coffee making facilities in room We had asked for twin beds sofa but we were given 3 beds However the room had 2 armchairs so that was not an issue for us,Negative
 Booked a Superior Room for extra facilities such as mini bar coffee and kettle bath robes Sky TV garden view vase of fresh flowers etc Our room did not have any of the these When we spoke to the manager he said these facilities were not available in the hotel as all the rooms were standard On their website however they clearly advertise Superior Rooms at an extra cost A cost which we paid for When showing the manager the website of a Superior Room I was told that this was only for advertising No refund was offered but instead was told by the manager that if we want a kettle to pick it up from the bar If we want a drink in the room to go down four flights of stairs to the bar The garden view was a street of scaffolding with the hotel situated in the red light district They advertised the Superior Rooms with extra large double beds Our room had two single beds pushed together along with two single duvets Overall our room was tired in appearance bedside lamps did not work and what we paid extra for did not exist Atlantis Hotel is clearly under breach of false advertising Beware ,Negative
No Negative,Negative
 No tea and coffee making facilities in the room No view from the window ,Negative
 A C was not switched over yet so we slept with the windows open to cool the room We were on a pretty busy road Also had construction work happening around the hotel ,Negative
 Work being done on top of hotel Drilling and hammering from 0630 in the morning First room there was timber passing our window We got moved but 2nd room still noisy with drilling and hammering ,Negative
 i don t know how it could be improved as everything was perfect ,Negative
 They did not give me what they have promised Instead charged me for it ,Negative
 They did not have a double bed available and therefore ended up with 2 twin beds next to each other even though we had specifically asked for a double bed They insisted that 2 beds next to each other is equivalent to a double bed,Negative
No Negative,Negative
 I wish there were better restaurants and coffeeshops nearby ,Negative
 The 24 hour bar was closed on Sunday as the staff member was too cranky to serve beer after having a large party in before us which upset us,Negative
 Altough we booked a double room with one large bed we ended up with to twin beds Beds were not comfortable ,Negative
 Always a pity to have to pay extra for parking Such is life ,Negative
No Negative,Negative
 The room has a ventilation system that heats and cools the room at the same time It is very loud and it didn t heat the room enough Also the windows let in wind noise and cold air The hotel does not have a parking lot but it uses the Lugner gallery one ,Negative
 the location is not the best in vienna especially during the night ,Negative
 the twins beds should be bigger than are ,Negative
 The hotel is not very cozy and the beds are not super convenient ,Negative
 There was work being done on the building at the time of our stay around Advent The staff could ve warned us that we can expect pneumatic drill work from 7 30 AM ,Negative
 The hotel is excellent but its location alas is sad too many red light bars no decent restaurants within two long blocks radius ,Negative
No Negative,Negative
 Rooms are nowhere near soundproof there was noise from the hall street and other rooms the property completely ignored the 2 hour early Genius check in and for the location and price I would at least expect the breakfast to be included,Negative
 The breakfast it was very expensive so we didn t take it ,Negative
 Not safe position next to a U6 stop at night it was not nice coming back to the hotel room sharing a wall with the breakfast room very noisy when I had asked for a quite room even though I had a double bed they only provided me with one single duvet there was a big gap between the door and the floor allowing a lot of light to enter the room even at night ,Negative
 The bed was too narrow and short and I am not that large person It was not comfortable to sleep in The breakfast did not have enough meaty features I did not expect a dispenser in the bathroom in a 4 star hotel ,Negative
 Room was in other part of the hotel different building with its own entry kind of weird Bathroom floor around the shower cabin would be flooded after the showering probably the cabin was leaking somewhere In the morning it was very noisy due to the construction work in the building in which our room was situated Would start around 7 with the noise and drilling ,Negative
 Maybe little better signal of Wifi ,Negative
 Checkin was very slow and had to pay in advance Too expensive for what it has to offer but correct for Vienna ,Negative
 The heating could have been at a higher temperature in the bathroom as it is now November and a bit colder in the mornings ,Negative
 Check in receptionist lady Cost of parking Dirty walls on corridors Hospital feeling in staircase People on the streets of the neighborhood ,Negative
 This is not in any way by any stretch a 4 star hotel It is misleading to those booking it to claim that it is a 4 star it s like an old travel lodge which is totally fine if you know what you are getting but the rating description and pictures are not reflective of the quality of the hotel ,Negative
 The parking garage isn t connected to the hotel and was around a ton of constructions It was freezing and whenever we needed to go to the car lobby we had to exit the hotel and walk down the street Extremely inconvenient,Negative
 The breakfast was very good and comprehensive but if you wanted a light breakfast you could find better value at the supermarket next door We missed having a kettle in our room for a quick cuppa ,Negative
 Getting into the room is a nightmare you have to carry you luggage through multiple sets of stairs and for sure with no help from the hotel staff Then walk through multiple series of corridors for quieter a long distance Other than the rooms everything else is below three starts quality Including staff ,Negative
 I cannot see why this hotel can be rated with four stars The room was very average and the beds were separated in the middle It was a very average room and not at all what I expected I only slept over night however do not go here thinking it is a four star hotel The lobby is very small and I did not like the smell it smelled stale and maybe like smoke I would not reccomend this place due to the fact is is not a four star hotel maybe a three star ,Negative
 The pictures from booking was different from the room that we received The walls was dirty with shoe marks the expendable bed was not straight we sleep with our heads lower that out feet The price in these conditions was not fair ,Negative
 Staff did not know how to give directions to parking and second site which is not connected to main site because of construction We wandered the garage bumping into other people wandering the garage Very frustrating In the end we could not get our car out of the garage without getting staff to come to us Street blocked by construction Avoid until construction done and staff training updated ,Negative
 The staff was slow and not really friendly ,Negative
 Superior room didnt look somehow special I have awaited a bit more space and especially kings bed that wouldnt be just a fusion of two normal beds which kept moving apart that was bit dissapointing ,Negative
 There were noise of constriction They didn t provide us with hotel slipper The bed was twin beds connected to each other where i asked for queen bed ,Negative
 The TV does not have any English channels When checking in you receive specific cards for breakfast that you need to show to the personnel at the restaurant in our case there were a bunch of cards for 5 days of accommodation we received per couple 10 cards ,Negative
 Expensive breakfast but there is a very good bakery at the mall that I recommend Away from the center ,Negative
 I had to wait for 20 minuts in the lobby to be served I came late night around 11 pm It was dirty in the room glasses walls bathtube One of the beds what a simple mattress lying on the floor Lots of corridors with damaged dirty or missing lining For the price we have paid I would expect MUCH more ,Negative
